Timestamp,日本在住ですか？,どのようなチームで働いていますか？,OpenTelemetryについてどの程度ご存知ですか？,OpenTelemetryで収集するテレメトリーシグナルはどれですか？（該当するものをすべて選択してください）,どのコレクターディストリビューションを使用していますか？（該当するものすべてを選択してください）,仕事でどのプログラミング言語を使用していますか？（該当するものをすべて選択してください）,同僚にOpenTelemetryを推薦する可能性はどのくらいありますか？,OpenTelemetryを使用しない主な理由は何ですか？（該当するものをすべて選択してください） ,日本のどの地域にお住まいですか？,過去3年間、どのようなITコミュニティイベントに参加しましたか？（該当するものをすべて選択してください）,どのような形式のイベントが好きですか？,テクノロジー全般に関する情報は、普段どこから得ていますか？（該当するものをすべて選択してください）,御社の社員数はどのくらいですか？,どの業界でお仕事されていますか？,あなたはオブザーバビリティまたはAPM（監視）ベンダーで働いていますか？,OpenTelemetryプロジェクトについて何かご意見はありますか？
12/4/2025 19:38:11,はい,プラットフォームエンジニア,本番環境で使っている,"メトリクス, ログ, トレース",Contribコレクター,ほとんど利用しない,9,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, LinkedIn, Qiita, Zenn, 技術カンファレンス／ミートアップ, slack",>1000,IT,いいえ,
12/4/2025 23:03:20,いいえ,,,,,,,,,,,,,,,
12/8/2025 20:29:07,はい,セールスエンジニア,本番環境で使っている,"メトリクス, ログ, トレース, プロファイル","Contribコレクター, OpenTelemetry Collector builder (OCB)を使ったカスタムビルド","Java, Javascript/Typescript, PHP, Python",10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, ハンズオンワークショップ, 初心者向けチュートリアル, 技術ディーブダイブ, ケーススタディプレゼンテーション, ネットワーキングイベント",対面イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",100-999,IT,はい,
12/8/2025 22:08:40,はい,オブザーバビリティ,本番環境で使っている,"ログ, トレース","コアコレクター, Contribコレクター","Go, PHP",8,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, ハンズオンワークショップ, ケーススタディプレゼンテーション, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, Twitter/X, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",>1000,IT,いいえ,
12/12/2025 12:49:08,はい,SRE,本番環境で使っている,"メトリクス, トレース",Contribコレクター,"Javascript/Typescript, Kotlin",10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ",100-999,医療,いいえ,
12/12/2025 12:49:10,はい,開発,本番環境で使っている,"メトリクス, ログ, トレース",Contribコレクター,"Go, Java, Javascript/Typescript",8,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス",対面イベントもバーチャルイベントもどちらも好きです,"GitHub, Twitter/X, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ",100-999,IT,いいえ,
12/12/2025 12:56:20,はい,DevOps,本番環境で使っている,"メトリクス, トレース","Contribコレクター, OpenTelemetry Collector builder (OCB)を使ったカスタムビルド","Go, Javascript/Typescript, Scala",8,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"カンファレンス, ネットワーキングイベント",対面イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",100-999,IT,はい,
12/12/2025 12:57:33,はい,DevOps,本番環境で使っている,"メトリクス, トレース",OpenTelemetry Collector builder (OCB)を使ったカスタムビルド,"Go, Javascript/Typescript, Python, Scala",10,,近畿（三重、滋賀、京都、大阪、兵庫、奈良、和歌山）,カンファレンス,対面イベント,"公式ドキュメント, GitHub, ブログ, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",100-999,IT,はい,
12/12/2025 13:00:34,はい,プラットフォームエンジニア,本番環境で使っている,トレース,使っていない,"Go, Javascript/Typescript",10,,九州・沖縄（福岡、佐賀、長崎、熊本、大分、宮崎、鹿児島、沖縄）,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"ブログ, Twitter/X, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",1-49,IT,いいえ,
12/12/2025 13:00:59,はい,セールスエンジニア,テスト中／評価中,"メトリクス, ログ, トレース",ADOT,"Java, Javascript/Typescript, PHP, Python",10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,ITコミュニティイベントには参加していない,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, Qiita, Zenn",>1000,IT,いいえ,"言語ごとのZero Code計装の対応状況についても、どこかで一覧化されたDOCがあると便利に感じます。今は各言語ごとにLog/Metrics/Traceの対応表があると思うのですが、結局簡単でないと自分は使いこなせないので、Zero Code計装ができる言語くらいしか、お客様にご案内できないのです。

https://opentelemetry.io/ja/docs/languages/"
12/12/2025 13:05:48,はい,開発,本番環境で使っている,トレース,コアコレクター,"Javascript/Typescript, Kotlin",10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"カンファレンス, 初心者向けチュートリアル, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",100-999,IT,いいえ,
12/12/2025 13:29:39,はい,開発,本番環境で使っている,"ログ, トレース",Contribコレクター,"PHP, Kotlin",10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 書籍",100-999,IT,いいえ,
12/12/2025 13:43:56,はい,開発,本番環境で使っている,"メトリクス, ログ, トレース",Contribコレクター,"Go, PHP",8,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Zenn, 技術カンファレンス／ミートアップ, 書籍",100-999,IT,いいえ,
12/12/2025 14:04:35,はい,開発,テスト中／評価中,"ログ, トレース","コアコレクター, Contribコレクター",Python,10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"ハンズオンワークショップ, 初心者向けチュートリアル, 技術ディーブダイブ, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",>1000,IT,いいえ,
12/12/2025 14:16:10,はい,開発,本番環境で使っている,"ログ, トレース",Contribコレクター,"Go, Javascript/Typescript, PHP",7,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,カンファレンス,対面イベントもバーチャルイベントもどちらも好きではない,"公式ドキュメント, GitHub, ブログ, Twitter/X, 書籍",100-999,IT,いいえ,
12/12/2025 14:17:11,はい,セールスエンジニア,本番環境で使っている,"メトリクス, ログ, トレース, プロファイル",Splunk Distro,"Go, Java, Javascript/Typescript, Python",8,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, 技術ディーブダイブ, ケーススタディプレゼンテーション, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",>1000,IT,はい,
12/12/2025 14:36:34,はい,SRE,本番環境で使っている,"メトリクス, ログ, トレース",コアコレクター,"Java, Python",10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"カンファレンス, ハンズオンワークショップ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, 技術カンファレンス／ミートアップ",>1000,IT,いいえ,
12/12/2025 14:56:59,はい,SRE,聞いたことはあるけど、使ったことはない,,,,,既に他のオブザーバビリティソリューションを使っているため,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"カンファレンス, ハンズオンワークショップ, 技術ディーブダイブ, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, 技術カンファレンス／ミートアップ, 書籍",1-49,IT,いいえ,
12/12/2025 15:14:16,はい,SRE,本番環境で使っている,メトリクス,Contribコレクター,"Go, Java, Python",9,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,カンファレンス,対面イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",>1000,IT,いいえ,
12/12/2025 15:14:20,はい,SRE,本番環境で使っている,"メトリクス, ログ, トレース","Contribコレクター, OpenTelemetry Collector builder (OCB)を使ったカスタムビルド",Go,7,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,ITコミュニティイベントには参加していない,バーチャル（オンライン）イベント,"Twitter/X, LinkedIn, Qiita, Zenn, YouTube, 技術カンファレンス／ミートアップ",>1000,IT,いいえ,
12/12/2025 16:26:49,はい,開発,テスト中／評価中,"メトリクス, ログ, トレース","コアコレクター, Contribコレクター","Javascript/Typescript, Ruby, Swift",7,,北海道,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, ハンズオンワークショップ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, 技術カンファレンス／ミートアップ, 書籍",50-99,IT,いいえ,
12/12/2025 17:33:04,はい,開発,本番環境で使っている,"メトリクス, トレース","Contribコレクター, OpenTelemetry Collector builder (OCB)を使ったカスタムビルド","Go, Javascript/Typescript, Ruby",10,,中部（山梨、長野、新潟、富山、石川、福井、静岡、愛知、岐阜）,カンファレンス,対面イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, Zenn, 同僚／職場のコミュニティ",100-999,IT,いいえ,
12/12/2025 17:36:58,はい,開発,本番環境で使っている,トレース,Contribコレクター,"Go, Java, Javascript/Typescript, Python",7,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,カンファレンス,対面イベントもバーチャルイベントもどちらも好きではない,"公式ドキュメント, GitHub, ブログ, Twitter/X, 同僚／職場のコミュニティ, 書籍",100-999,IT,いいえ,
12/12/2025 17:49:34,はい,オブザーバビリティ,テスト中／評価中,"メトリクス, ログ, トレース",コアコレクター,"Go, Java, PHP",9,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス",対面イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, LinkedIn, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",>1000,IT,はい,
12/12/2025 18:20:25,はい,開発,本番環境で使っている,"メトリクス, トレース","Contribコレクター, OpenTelemetry Collector builder (OCB)を使ったカスタムビルド","Go, Ruby",9,,近畿（三重、滋賀、京都、大阪、兵庫、奈良、和歌山）,ITコミュニティイベントには参加していない,対面イベント,"公式ドキュメント, GitHub, Zenn",100-999,IT,いいえ,
12/12/2025 18:21:12,はい,開発,本番環境で使っている,"ログ, トレース",Contribコレクター,"Go, Javascript/Typescript, Ruby",6,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"ブログ, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ",100-999,IT,いいえ,
12/12/2025 18:43:42,はい,開発,テスト中／評価中,"メトリクス, トレース",Contribコレクター,"Go, Rust",9,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"カンファレンス, 技術ディーブダイブ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Zenn",>1000,自動車,いいえ,
12/12/2025 20:03:49,はい,開発,本番環境で使っている,"メトリクス, トレース",Contribコレクター,"Go, Javascript/Typescript, Python",10,,中部（山梨、長野、新潟、富山、石川、福井、静岡、愛知、岐阜）,カンファレンス,対面イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, 技術カンファレンス／ミートアップ, 書籍",100-999,IT,いいえ,CNCFでもっとOpenTelemetryに特化したイベントが欲しいです
12/12/2025 20:04:06,はい,SRE,テスト中／評価中,"メトリクス, ログ, トレース",Contribコレクター,"Go, Java, Rust",8,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, ハンズオンワークショップ, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",100-999,IT,いいえ,
12/12/2025 21:00:45,はい,開発,本番環境で使っている,"メトリクス, ログ, トレース",Contribコレクター,Go,10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,ITコミュニティイベントには参加していない,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 書籍",>1000,IT,いいえ,APM系ベンダーと一緒にOTELのオンボーディングを加速してほしいです
12/13/2025 1:13:41,はい,SRE,本番環境で使っている,"メトリクス, ログ, トレース",Grafana Alloy,"Go, Javascript/Typescript, Rust",9,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",50-99,金融,いいえ,
12/13/2025 2:39:12,はい,プラットフォームエンジニア,本番環境で使っている,"メトリクス, ログ, トレース",OpenTelemetry Collector builder (OCB)を使ったカスタムビルド,Go,10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス",対面イベント,"Twitter/X, 技術カンファレンス／ミートアップ",50-99,IT,いいえ,
12/13/2025 7:36:59,はい,プラットフォームエンジニア,本番環境で使っている,トレース,使っていない,"Go, Javascript/Typescript, Python, Ruby",10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ",100-999,IT,いいえ,
12/13/2025 7:39:25,はい,プラットフォームエンジニア,聞いたことはあるけど、使ったことはない,,,,,ビジネス価値が不明確,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, ハンズオンワークショップ, 技術ディーブダイブ",バーチャル（オンライン）イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 技術カンファレンス／ミートアップ",100-999,IT,いいえ,
12/13/2025 8:15:42,はい,セールスエンジニア,本番環境で使っている,"メトリクス, ログ, トレース, プロファイル",Contribコレクター,"Go, Javascript/Typescript, Python, Swift, Kotlin",8,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"カンファレンス, ハンズオンワークショップ, 技術ディーブダイブ, ケーススタディプレゼンテーション",対面イベントもバーチャルイベントもどちらも好きです,"GitHub, ブログ, Twitter/X, Zenn, 技術カンファレンス／ミートアップ",100-999,IT,はい,
12/13/2025 10:48:29,はい,運用,聞いたことはあるけど、使ったことはない,,,,,既に他のオブザーバビリティソリューションを使っているため,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,カンファレンス,対面イベント,"ブログ, Twitter/X",100-999,IT,はい,
12/13/2025 10:52:38,はい,DevOps,テスト中／評価中,トレース,コアコレクター,"Java, Python",7,,近畿（三重、滋賀、京都、大阪、兵庫、奈良、和歌山）,"カンファレンス, ハンズオンワークショップ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, Twitter/X, 技術カンファレンス／ミートアップ",>1000,製造,いいえ,
12/15/2025 15:33:18,はい,開発,テスト中／評価中,トレース,コアコレクター,"Javascript/Typescript, Python",10,,北海道,"カンファレンス, ハンズオンワークショップ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, 同僚／職場のコミュニティ, 書籍",100-999,IT,いいえ,
12/16/2025 11:04:05,はい,DevOps,テスト中／評価中,"メトリクス, ログ, トレース, プロファイル",使っていない,"Go, Java",9,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"カンファレンス, 初心者向けチュートリアル, 技術ディーブダイブ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, YouTube, 技術カンファレンス／ミートアップ, 書籍",>1000,自動車,いいえ,
12/16/2025 12:01:40,はい,開発,テスト中／評価中,トレース,Contribコレクター,".NET, Javascript/Typescript",10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,ITコミュニティイベントには参加していない,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, Twitter/X",100-999,IT,いいえ,
12/16/2025 12:20:02,はい,開発,本番環境で使っている,"メトリクス, ログ, トレース",コアコレクター,"Go, Javascript/Typescript",10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"カンファレンス, ハンズオンワークショップ, 技術ディーブダイブ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, LinkedIn, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍, 論文",100-999,IT,いいえ,特にフロントエンドのオブザーバビリティについて技術的整備や実事例の紹介が足りていないように感じます。
12/16/2025 14:36:00,はい,開発,テスト中／評価中,"メトリクス, トレース",Contribコレクター,"Go, Javascript/Typescript",6,,近畿（三重、滋賀、京都、大阪、兵庫、奈良、和歌山）,カンファレンス,対面イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, Zenn, 同僚／職場のコミュニティ",100-999,IT,いいえ,
12/16/2025 14:36:22,はい,開発,テスト中／評価中,トレース,Contribコレクター,"Javascript/Typescript, Python",8,,近畿（三重、滋賀、京都、大阪、兵庫、奈良、和歌山）,"カンファレンス, ハンズオンワークショップ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Qiita",>1000,IT,いいえ,
12/16/2025 17:19:04,はい,開発,本番環境で使っている,"ログ, トレース","コアコレクター, Contribコレクター","Javascript/Typescript, Python",10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, ブログ, Twitter/X, Qiita, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",100-999,IT,いいえ,JavaScript のフロントエンドログをどうやるか知見を知りたい
12/16/2025 17:20:28,はい,開発,テスト中／評価中,"メトリクス, ログ, トレース",OpenTelemetry Collector builder (OCB)を使ったカスタムビルド,PHP,6,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, Twitter/X, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",1-49,IT,いいえ,
12/16/2025 17:56:44,はい,開発,本番環境で使っている,トレース,Contribコレクター,"Go, Java, Python",6,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,カンファレンス,対面イベントもバーチャルイベントもどちらも好きではない,"公式ドキュメント, GitHub, ブログ, Twitter/X, 同僚／職場のコミュニティ, 書籍",100-999,IT,いいえ,
12/16/2025 18:22:21,はい,DevOps,聞いたことはあるけど、使ったことはない,,,,,"既に他のオブザーバビリティソリューションを使っているため, 実施するための時間・リソース不足, ビジネス価値が不明確",関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Qiita, Zenn, 同僚／職場のコミュニティ, 書籍",100-999,広告,いいえ,"ベンダー独自の機能にロックインされている部分はあるのでそこからの移行コストがネックになっています。
素晴らしいソリューションではあると思うので何かできることがあれば応援したいです"
12/16/2025 19:00:46,はい,開発,本番環境で使っている,"ログ, トレース",Contribコレクター,Go,8,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"GitHub, ブログ, Twitter/X, Zenn, 同僚／職場のコミュニティ",100-999,IT,いいえ,
12/16/2025 19:33:32,はい,開発,テスト中／評価中,"メトリクス, ログ, トレース, プロファイル",使っていない,"Go, Javascript/Typescript",8,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"カンファレンス, ハンズオンワークショップ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, ブログ, Twitter/X, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",100-999,IT,いいえ,
12/16/2025 20:32:17,はい,プラットフォームエンジニア,本番環境で使っている,"メトリクス, トレース",Contribコレクター,"Go, Javascript/Typescript",10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"カンファレンス, ハンズオンワークショップ",対面イベントもバーチャルイベントもどちらも好きです,"GitHub, ブログ, Twitter/X, Zenn, 技術カンファレンス／ミートアップ",100-999,IT,いいえ,
12/16/2025 20:38:11,はい,SRE,聞いたことはあるけど、使ったことはない,,,,,既に他のオブザーバビリティソリューションを使っているため,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"カンファレンス, 技術ディーブダイブ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",1-49,IT,いいえ,
12/16/2025 20:55:47,はい,開発,本番環境で使っている,"メトリクス, ログ, トレース",Contribコレクター,"Go, Javascript/Typescript, Perl, Python, Swift, Kotlin",10,,近畿（三重、滋賀、京都、大阪、兵庫、奈良、和歌山）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",100-999,IT,はい,
12/16/2025 22:41:50,はい,SRE,本番環境で使っている,"メトリクス, ログ",Contribコレクター,"Go, Python",9,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, ハンズオンワークショップ, ケーススタディプレゼンテーション",対面イベント,"公式ドキュメント, ブログ, Twitter/X, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ",100-999,IT,いいえ,
12/17/2025 2:53:11,はい,SRE,本番環境で使っている,"メトリクス, ログ, トレース",Contribコレクター,"Go, Javascript/Typescript",10,,近畿（三重、滋賀、京都、大阪、兵庫、奈良、和歌山）,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍, ChatGPT",100-999,IT,はい,
12/17/2025 7:48:01,はい,セールスエンジニア,テスト中／評価中,"メトリクス, ログ, トレース",Contribコレクター,"Java, Javascript/Typescript",10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"カンファレンス, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ",1-49,IT,はい,
