Timestamp,1. How large is your organization?,2.  What industry do you work in?,3.  What type of team do you work on?,4.  Do you work for an Observability or APM vendor?,5.  Are you running OpenTelemetry in Production?,6.  Where in your Observability journey is your organization?,1. How many Collectors do you run in your organization?,2. Where do you deploy your Collectors? (select all that apply),3. What Kubernetes deployment scenarios do you use your Collectors in? (select all that apply),4. How do you deploy the OTel Collector on Kubernetes??,5. Do you build your own Collector distribution?,6. Do you use the OTel Collector Builder to build your own OTel Collector distribution?,7. How easy do you find it to build your own OTel Collector distributions with the Collector Builder?,8. Do you monitor your Collectors using internal Collector telemetry?,"9. If you monitor your Collectors, what telemetry do you collect when monitoring them? (select all that apply)",10. Which of the following Exporters do you use? (select all that apply),11. Which of the following Receivers do you use? (select all that apply),12. Which of the following processors do you use? (select all that apply),13. Which of the following connectors do you use? (select all that apply),14. Which of the following extensions do you use? (select all that apply),15. What kind of improvement would you most like to see for the Collector?,1. Have you used the Collector documentation on opentelemetry.io?,"2. Overall, how satisfied are you with the Collector documentation on opentelemetry.io?","3. If you could improve one part of the Collector documentation, what would it be and why?"
8/1/2025 14:46:09,1000+ employees,Travel & Leisure,Platform Engineering,No,Yes,Expert - We have a well-established observability practice,More than 1000,"Kubernetes, Virtual Machine (VM)","On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,No,No,1,Yes,"Logs, Metrics",otlpexporter,"apachesparkreceiver, filelogreceiver, githubreceiver, hostmetricsreceiver, k8sclusterreceiver, k8seventsreceiver, kubeletstatsreceiver, otlpreceiver, prometheusreceiver, snmpreceiver, zipkinreceiver","attributesprocessor, batchprocessor, cumulativetodeltaprocessor, filterprocessor, groupbyattrsprocessor, k8sattributesprocessor, memorylimiterprocessor, metricstransformprocessor, resourceprocessor, spanprocessor, transformprocessor",spanmetricsconnector,"healthcheckextension, healthcheckv2extension, pprofextension, zpages","Stability, Configuration management and resolution",Yes,3,Docs for individual components in opentelemetry.io. Having to jump to GitHub to read about a specific receiver/processor/exporter is very time consuming.
8/1/2025 14:49:22,50-99 employees,Finance,Platform Engineering,No,Yes,Beginner - Learning about observability / Have used monitoring tools,Between 2 and 5,"Docker Compose, AWS ECS",I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,No,No,,No,,"awscloudwatchlogsexporter, awsxrayexporter, debugexporter, loggingexporter, otlpexporter, otlphttpexporter, prometheusexporter","awscloudwatchreceiver, awsxrayreceiver, otlpreceiver","attributesprocessor, coralogixprocessor, dnslookupprocessor, filterprocessor, memorylimiterprocessor, spanprocessor",otlpjsonconnector,"healthcheckextension, sigv4authextension, zpages",Aws X-ray interoperability ,Yes,4,
8/1/2025 14:51:35,1000+ employees,Customer Experience,DevOps,No,Yes,Expert - We have a well-established observability practice,Between 11 and 100,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",via Helm using Terraform,No,No,,Yes,"Logs, Metrics","otlpexporter, otlphttpexporter",otlpreceiver,"attributesprocessor, batchprocessor, filterprocessor, spanmetricsprocessor",spanmetricsconnector,"healthcheckextension, zpages","Stability, Collector observability",Yes,4,More detailed and better structured examples
8/1/2025 15:00:35,1000+ employees,Technology,Observability,No,Yes,Expert - We have a well-established observability practice,Between 11 and 100,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment), In a stateful scenario (ie k8s statefulset)",OTel Operator,Yes,Yes,3,Yes,"Logs, Metrics","alertmanagerexporter, awss3exporter, clickhouseexporter, elasticsearchexporter, kafkaexporter, loggingexporter, opensearchexporter, syslogexporter","awss3receiver, elasticsearchreceiver, filelogreceiver, hostmetricsreceiver, jmxreceiver, k8sclusterreceiver, k8seventsreceiver, k8slogreceiver, k8sobjectsreceiver, kafkametricsreceiver, kafkareceiver, kubeletstatsreceiver, otlpjsonfilereceiver, otlpreceiver, prometheusreceiver, syslogreceiver, tcplogreceiver","attributesprocessor, batchprocessor, k8sattributesprocessor, logdedupprocessor, logstransformprocessor, metricstransformprocessor","routingconnector, signaltometricsconnector","basicauthextension, oauth2clientauthextension, oidcauthextension","Support for more receivers or exporters, consistent signal support ",Yes,4,more tangible concrete examples 
8/1/2025 15:03:11,1-49 employees,Technology,SRE,No,Yes,Expert - We have a well-established observability practice,Between 11 and 100,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment), In a stateful scenario (ie k8s statefulset)",OTel Collector Helm Chart,No,No,4,Yes,"Logs, Metrics","otlpexporter, otlphttpexporter","filelogreceiver, otlpreceiver, sqlqueryreceiver","attributesprocessor, batchprocessor, deltatorateprocessor, filterprocessor, logstransformprocessor, memorylimiterprocessor, routingprocessor, tailsamplingprocessor","countconnector, routingconnector","filestorage, headerssetterextension",Stability,Yes,4,Otlp transform language tutorial and correlation 
8/1/2025 15:04:33,1-49 employees,Technology,Dev,Yes,Yes,Expert - We have a well-established observability practice,More than 1000,"Kubernetes, Virtual Machine (VM), Docker Compose","On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",Other Helm Chart (e.g. vendor's),Yes,Yes,5,Yes,"Logs, Metrics","clickhouseexporter, otlpexporter, otlphttpexporter","filelogreceiver, otlpreceiver","attributesprocessor, batchprocessor, k8sattributesprocessor, memorylimiterprocessor, probabilisticsamplerprocessor, resourceprocessor, routingprocessor, spanmetricsprocessor","routingconnector, servicegraphconnector, spanmetricsconnector","healthcheckextension, pprofextension",Stability,Yes,5,Using OCB
8/1/2025 15:08:06,100-999 employees,Technology,Platform Engineering,No,No,Intermediate - We are setting up an observability practice,Between 101 and 1000,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment), In a stateful scenario (ie k8s statefulset)",Other Helm Chart (e.g. vendor's),No,No,3,Yes,Metrics,"otlpexporter, prometheusremotewriteexporter","filelogreceiver, prometheusreceiver","batchprocessor, k8sattributesprocessor",na,filestorage,"Stability, documentation",Yes,2,
8/1/2025 15:22:56,100-999 employees,Finance,DevOps,No,Yes,Intermediate - We are setting up an observability practice,Between 2 and 5,"Docker Compose, Azure Container Instance",I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,No,No,,No,,otlpexporter,otlpreceiver,"attributesprocessor, batchprocessor, filterprocessor, memorylimiterprocessor, spanprocessor",routingconnector,"healthcheckextension, zpages","Collector observability, Configuration management and resolution",Yes,4,Debugging and configuration management 
8/1/2025 16:00:44,100-999 employees,Finance,SRE,No,Yes,Beginner - Learning about observability / Have used monitoring tools,Between 6 and 10,Virtual Machine (VM),I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,No,No,3,No,"Logs, Metrics, Traces",otlpexporter,"awscloudwatchreceiver, cloudflarereceiver, jmxreceiver, journaldreceiver",batchprocessor,countconnector,storage,Stability,Yes,4,
8/1/2025 16:54:56,1000+ employees,Hospitality,SRE,No,No,Intermediate - We are setting up an observability practice,Between 6 and 10,"Kubernetes, Virtual Machine (VM)","On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment), In a stateful scenario (ie k8s statefulset)",OTel Operator,Yes,Yes,1,Yes,"Logs, Metrics","kafkaexporter, loadbalancingexporter, otlpexporter, otlphttpexporter","collectdreceiver, filelogreceiver, githubreceiver, hostmetricsreceiver, journaldreceiver, k8sclusterreceiver, k8seventsreceiver, k8slogreceiver, k8sobjectsreceiver, kafkareceiver, kubeletstatsreceiver, otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, filterprocessor, groupbyattrsprocessor, k8sattributesprocessor, logdedupprocessor, memorylimiterprocessor, redactionprocessor, resourceprocessor, routingprocessor, schemaprocessor, tailsamplingprocessor","countconnector, failoverconnector, routingconnector","basicauthextension, bearertokenauthextension",Configuration management and resolution,Yes,5,
8/1/2025 16:58:48,1000+ employees,Maritime transport,Observability,No,Yes,Intermediate - We are setting up an observability practice,Between 101 and 1000,"Kubernetes, Bare Metal, AWS ECS","Next to my application (i.e. k8s sidecar), As a gateway (i.e. k8s deployment)",OTel Operator,Yes,Yes,4,Yes,"Logs, Metrics, Traces","awss3exporter, datadogexporter, otlpexporter, otlphttpexporter","awss3receiver, hostmetricsreceiver, kafkareceiver, otlpreceiver","attributesprocessor, batchprocessor, datadogprocessor, datadogsemanticsprocessor, deltatorateprocessor, probabilisticsamplerprocessor, spanprocessor, transformprocessor",datadogconnector,datadogextension,"Stability, Collector observability, Configuration management and resolution, Support for more receivers or exporters",Yes,4,
8/1/2025 17:04:43,1000+ employees,Technology,Dev,Yes,Yes,Intermediate - We are setting up an observability practice,Between 2 and 5,"Virtual Machine (VM), Bare Metal",I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,No,No,3,Yes,"Logs, Metrics","kafkaexporter, loggingexporter, lokiexporter, otlphttpexporter","filelogreceiver, lokireceiver, windowsservicereceiver","batchprocessor, memorylimiterprocessor, resourcedetectionprocessor, resourceprocessor",none,"filestorage, healthcheckextension","Collector observability, Support for more receivers or exporters",Yes,4,"more examples for automatic instrumentation, as we are facing adoption issues, so could help out users"
8/1/2025 17:06:45,1000+ employees,Finance,Observability,No,No,Expert - We have a well-established observability practice,Between 2 and 5,"Kubernetes, Virtual Machine (VM)","Next to my application (i.e. k8s sidecar), On every host (i.e k8s daemonset)",OTel Collector Helm Chart,No,No,5,No,,"debugexporter, splunkhecexporter","filelogreceiver, kafkareceiver, prometheusreceiver, vcenterreceiver","attributesprocessor, filterprocessor",I donnt use connetors yet,Don’t use extensions for now,"Collector observability, Configuration management and resolution, Deployment on hight scale. And conf management",Yes,2,More complexe example like in the otel github
8/1/2025 17:07:02,1000+ employees,Technology,Observability,No,Yes,Expert - We have a well-established observability practice,Between 101 and 1000,Virtual Machine (VM),I don't deploy any Collectors to Kubernetes,We don't deploy to k8s,Yes,Yes,1,Yes,"Logs, Metrics, Traces","fileexporter, otlpexporter, prometheusexporter, prometheusremotewriteexporter, splunkhecexporter",otlpreceiver,"batchprocessor, filterprocessor, memorylimiterprocessor, transformprocessor",none,pprofextension,"Stability, Configuration management and resolution, Partial restarts. Single pipeline reconfiguration and restarts without the need to break other connections and pipelines. The whole collector should not be restarted if a single pipeline needs to be changed.",Yes,5,I'm really satisfied with the docs. They have good structure and I'm able to find everything I need. Keep up the great work :)
8/1/2025 17:55:41,1000+ employees,Finance,Observability,Yes,Yes,Intermediate - We are setting up an observability practice,More than 1000,"Kubernetes, Virtual Machine (VM)",As a gateway (i.e. k8s deployment),OTel Collector Helm Chart,Yes,Yes,3,Yes,"Logs, Metrics","debugexporter, otlphttpexporter, prometheusremotewriteexporter","filelogreceiver, hostmetricsreceiver, k8sclusterreceiver, otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, filterprocessor, k8sattributesprocessor, memorylimiterprocessor, resourcedetectionprocessor",Na,"filestorage, sigv4authextension","Collector observability, Configuration management and resolution, Support for more receivers or exporters, Mainframe receiver",Yes,4,Creating custom reciver and exporter tutor
8/1/2025 18:04:59,1000+ employees,Agriculture,Architecture,No,Yes,Intermediate - We are setting up an observability practice,Between 6 and 10,"Kubernetes, Virtual Machine (VM), Bare Metal, Docker on my desktop",In a stateful scenario (ie k8s statefulset),Kubernetes manifests,No,No,,No,,"googlecloudexporter, otlphttpexporter","elasticsearchreceiver, filelogreceiver, filereceiver, filestatsreceiver, googlecloudpubsubreceiver, otlpreceiver, sqlqueryreceiver, tcpcheckreceiver, tlscheckreceiver","batchprocessor, logdedupprocessor, memorylimiterprocessor, spanmetricsprocessor, spanprocessor, tailsamplingprocessor",otlpjsonconnector,"googleclientauthextension, filestorage","Collector observability, Support for more receivers or exporters",Yes,4,
8/1/2025 18:20:43,1000+ employees,Big Data,Platform Engineering,Yes,Yes,Expert - We have a well-established observability practice,I don't know,"Kubernetes, Virtual Machine (VM), Docker on my desktop, Docker Compose","Next to my application (i.e. k8s sidecar), On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,Yes,Yes,1,No,,"elasticsearchexporter, fileexporter, kafkaexporter, otlpexporter, otlphttpexporter","elasticsearchreceiver, hostmetricsreceiver, k8sclusterreceiver, k8seventsreceiver, k8slogreceiver, k8sobjectsreceiver, otlpreceiver","attributesprocessor, batchprocessor, cumulativetodeltaprocessor, filterprocessor, geoipprocessor, k8sattributesprocessor, logstransformprocessor, resourceprocessor, spanmetricsprocessor, spanprocessor","signaltometricsconnector, spanmetricsconnector","googleclientauthextension, httpforwarderextension",Configuration management and resolution,Yes,4,
8/1/2025 18:44:28,1000+ employees,Finance,SRE,No,Yes,Intermediate - We are setting up an observability practice,Between 101 and 1000,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,Yes,Yes,5,Yes,"Logs, Metrics","awss3exporter, kafkaexporter, loadbalancingexporter, opensearchexporter, otlphttpexporter, prometheusremotewriteexporter","jaegerreceiver, kafkareceiver, otlpreceiver, sapmreceiver","attributesprocessor, batchprocessor, k8sattributesprocessor, memorylimiterprocessor, spanmetricsprocessor, tailsamplingprocessor",spanmetricsconnector,"basicauthextension, healthcheckextension","Collector observability, Configuration management and resolution",Yes,3,Added more user cases to complex environment.
8/1/2025 18:49:33,1000+ employees,Finance,SRE,Yes,No,Intermediate - We are setting up an observability practice,None,No collectors available ,I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,Yes,Yes,3,Yes,"Logs, Metrics, Traces","datadogexporter, kafkaexporter, otlphttpexporter, prometheusexporter, prometheusremotewriteexporter",kafkareceiver,"batchprocessor, memorylimiterprocessor, probabilisticsamplerprocessor","datadogconnector, spanmetricsconnector",zpages,"Stability, Collector observability, Documentación en Español, Mejorar proceso de ingreso para nuevos desarrolladores que queremos participar, presentaciones y charlas en YouTube para evangelizar en empresas",Yes,2,"Documentación en Español y con ejemplos claros y funcionales, utilizando los últimos frameworks y lenguajes de programación. "
8/1/2025 19:25:40,50-99 employees,Technology,Platform Engineering,No,Yes,Intermediate - We are setting up an observability practice,Between 11 and 100,"Virtual Machine (VM), AWS Lambda",I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,No,No,,No,,"debugexporter, otlpexporter","hostmetricsreceiver, mongodbreceiver, otlpreceiver","batchprocessor, filterprocessor, memorylimiterprocessor, transformprocessor",None,healthcheckextension,Faster startup time,No,3,Startup performance in aws lambda
8/1/2025 19:33:49,1000+ employees,Cloud services,Architecture,Yes,Yes,Expert - We have a well-established observability practice,I don't know,"Kubernetes, Virtual Machine (VM), Bare Metal",On every host (i.e k8s daemonset),OTel Collector Helm Chart,No,No,3,Yes,"Logs, Metrics, Traces","datadogexporter, fileexporter, loadbalancingexporter, otlpexporter, otlphttpexporter","filereceiver, hostmetricsreceiver, otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, cumulativetodeltaprocessor, datadogprocessor, filterprocessor, k8sattributesprocessor, memorylimiterprocessor, probabilisticsamplerprocessor, redactionprocessor, resourcedetectionprocessor, resourceprocessor, tailsamplingprocessor","datadogconnector, routingconnector, spanmetricsconnector","datadogextension, healthcheckextension, storage",Collector observability,Yes,3,More comprehensive examples
8/1/2025 20:12:21,50-99 employees,Technology,Platform Engineering,No,Yes,Intermediate - We are setting up an observability practice,Between 2 and 5,"Kubernetes, Virtual Machine (VM)","On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,No,No,,No,Metrics,"clickhouseexporter, otlpexporter, otlphttpexporter","filelogreceiver, k8sclusterreceiver, k8seventsreceiver, k8slogreceiver","attributesprocessor, batchprocessor, k8sattributesprocessor, logstransformprocessor, memorylimiterprocessor",otlpjsonconnector,Not sure,"Stability, Configuration management and resolution",Yes,3,Better sections in the documentation and more examples. Also the sdks docs can be separate pages and have more details and examples
8/1/2025 20:13:47,1000+ employees,Technology,Observability,Yes,Yes,Beginner - Learning about observability / Have used monitoring tools,1,"Kubernetes, Virtual Machine (VM), Docker on my desktop, Docker Compose","In a stateful scenario (ie k8s statefulset), I don't deploy any Collectors to Kubernetes",OTel Operator,Yes,Yes,5,Yes,"Logs, Metrics",splunkhecexporter,"splunkenterprisereceiver, splunkhecreceiver",batchprocessor,otlpjsonconnector,httpforwarderextension,"Stability, Collector observability, Configuration management and resolution, Support for more receivers or exporters",Yes,2,
8/1/2025 20:23:16,1000+ employees,Technology,Observability,No,Yes,Expert - We have a well-established observability practice,Between 101 and 1000,Kubernetes,"As a gateway (i.e. k8s deployment), In a stateful scenario (ie k8s statefulset)",Kubernetes manifests,No,No,3,Yes,"Logs, Metrics","awss3exporter, datadogexporter, debugexporter, otlpexporter","datadogreceiver, hostmetricsreceiver, otelarrowreceiver, otlpreceiver, statsdreceiver","attributesprocessor, batchprocessor, filterprocessor, groupbyattrsprocessor, k8sattributesprocessor, memorylimiterprocessor, probabilisticsamplerprocessor, resourcedetectionprocessor, spanprocessor, tailsamplingprocessor","datadogconnector, failoverconnector","filestorage, healthcheckextension, pprofextension, storage, zpages",Configuration management and resolution,Yes,3,Scaling documentation
8/1/2025 22:18:57,1000+ employees,Automotive,DevOps,No,Yes,Expert - We have a well-established observability practice,More than 1000,"Virtual Machine (VM), ",I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,Yes,Yes,2,Yes,"Logs, Metrics, Traces","datadogexporter, fileexporter, otelarrowexporter",otelarrowreceiver,"attributesprocessor, batchprocessor, datadogprocessor, datadogsemanticsprocessor, datatocumulativeprocessor, filterprocessor, metricstransformprocessor, resourceprocessor, routingprocessor, spanprocessor",datadogconnector,"datadogextension, filestorage, healthcheckextension, healthcheckv2extension, oauth2clientauthextension, oidcauthextension, opampcustommessages, opampextension, pprofextension, storage, zpages","Stability, Configuration management and resolution, Android support, eBPF (profile) support, performance, ",Yes,3,"Scalability, performance tuning"
8/1/2025 22:47:04,1000+ employees,Technology,Observability,No,Yes,Expert - We have a well-established observability practice,More than 1000,"Kubernetes, Virtual Machine (VM), Bare Metal, Docker on my desktop, Docker Compose","On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,Yes,No,3,Yes,Metrics,"kafkaexporter, loadbalancingexporter, otlpexporter, otlphttpexporter","otlpjsonfilereceiver, otlpreceiver, zipkinreceiver","attributesprocessor, batchprocessor, cumulativetodeltaprocessor, filterprocessor, groupbyattrsprocessor, memorylimiterprocessor, spanmetricsprocessor, tailsamplingprocessor, ",spanmetricsconnector,healthcheckextension,Configuration management and resolution,Yes,5,
8/1/2025 23:31:12,1000+ employees,Technology,SRE,No,Yes,Expert - We have a well-established observability practice,More than 1000,"Kubernetes, Virtual Machine (VM), Docker on my desktop","On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",Other Helm Chart (e.g. vendor's),Yes,No,,Yes,"Logs, Metrics","datadogexporter, debugexporter, elasticsearchexporter, fileexporter, googlecloudpubsubexporter, googlemanagedprometheusexporter, otlpexporter","dockerstatsreceiver, elasticsearchreceiver, filelogreceiver, filestatsreceiver, googlecloudpubsubreceiver, hostmetricsreceiver, journaldreceiver, k8sclusterreceiver, k8sobjectsreceiver, kubeletstatsreceiver, otlpreceiver, postgresqlreceiver, prometheusreceiver, sqlqueryreceiver, custom ones","batchprocessor, datadogprocessor, filterprocessor, k8sattributesprocessor, memorylimiterprocessor, metricstarttimeprocessor, probabilisticsamplerprocessor, redactionprocessor, resourcedetectionprocessor, resourceprocessor, transformprocessor, custom ones","otlpjsonconnector, custom ones","googleclientauthextension, filestorage, healthcheckextension, zpages","Stability, Collector observability",Yes,3,"it's hit and miss, oftentimes the documentation links to github repos which then links to ... doesn't make it easy on users at least"
8/2/2025 4:21:27,1-49 employees,Technology,Observability,Yes,No,Beginner - Learning about observability / Have used monitoring tools,Between 2 and 5,"Kubernetes, Docker Compose","Next to my application (i.e. k8s sidecar), On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Operator,No,No,5,No,,"clickhouseexporter, otlphttpexporter",k8sclusterreceiver,"attributesprocessor, batchprocessor, memorylimiterprocessor",NA,basicauthextension,"Collector observability, Configuration management and resolution, Support for more receivers or exporters",Yes,3,"Semantic Conversations Topic, because there is no proper examples for it how to do it in learning phase"
8/2/2025 6:41:18,1000+ employees,Technology,Dev,No,Yes,Expert - We have a well-established observability practice,I don't know,"Kubernetes, Virtual Machine (VM), Bare Metal",In a stateful scenario (ie k8s statefulset),Juju charm,Yes,Yes,2,Yes,Metrics,"debugexporter, lokiexporter, otlphttpexporter, prometheusexporter, prometheusremotewriteexporter","filelogreceiver, lokireceiver, podmanreceiver",transformprocessor,.,filestorage,Collector observability,Yes,3,
