Timestamp,Do you use OpenTelemetry in production for metrics?,Where do you store your metrics primarily?,What type of team do you work on?,Do you collect infrastructure metrics?,How do you instrument infrastructure metrics collection? (choose all that apply),Do you collect application metrics? ,How do you instrument application metrics collection? (choose all that apply),What do you use to process or transform metrics data before you send it to storage? (choose all that apply),How easy or difficult is it to use OpenTelemetry and Prometheus together?,What would you like us to improve to make OpenTelemetry and Prometheus work better together?  (optional),What industry do you work in?,Where in its observability journey is your organization?,How large is your organization?,Do you work for an observability or APM (monitoring) vendor?,Are you a Prometheus or an OpenTelemetry maintainer?
3/24/2026 11:55:50,"Yes, I use both OpenTelemetry & Prometheus",AWS Prometheus,Platform Engineering,Yes,"OTel receivers, Prometheus exporters",Yes,"OTel SDKs, Prometheus SDKs","Nothing, it goes to storage right away",Neither easy nor difficult,We do not use both together. Honeycomb do tracing and Prometheus for alerts ,Technology,Expert - We have a well-established observability practice,1-49 employees,Yes,
3/24/2026 16:22:57,Yes,Prometheus-compatible (or PromQL compatible) backend from a vendor,Platform Engineering,Yes,"OTel receivers, Prometheus exporters, Built in /metrics endpoint (without exporter)",Yes,Prometheus SDKs,"Prometheus relabeling rules or record evaluations, Open source OTel Collector (core, contrib)",Somewhat easy,,Technology,Intermediate - We are setting up an observability practice,100-999 employees,Yes,
3/24/2026 16:41:29,Yes,I don’t know,,,,,,,,,,,,,
3/24/2026 18:08:42,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",SRE,Yes,Prometheus exporters,Yes,Prometheus SDKs,Prometheus relabeling rules or record evaluations,Neither easy nor difficult,,Technology,Expert - We have a well-established observability practice,1000+ employees,No,
3/24/2026 18:13:55,Yes,Prometheus,Platform Engineering,Yes,"OTel receivers, Prometheus exporters",Yes,OTel SDKs,"Open source OTel Collector (core, contrib)",Somewhat easy,,Technology,Beginner - Learning about observability / Have used monitoring tools,100-999 employees,No,
3/24/2026 18:16:09,Yes,Prometheus-compatible (or PromQL compatible) backend from a vendor,Dev,Yes,"OTel receivers, Prometheus exporters, Built in /metrics endpoint (without exporter)",Yes,"OTel SDKs, Prometheus SDKs","Prometheus relabeling rules or record evaluations, Vendor distribution of OTel Collector",Neither easy nor difficult,"Resource Attributes Entity, Conversion spec up to date, Prometheus exporter Vs receiver, Semconv use by Prometheus",Technology,Expert - We have a well-established observability practice,1000+ employees,Yes,
3/25/2026 12:43:37,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",Operations,Yes,"OTel receivers, Prometheus exporters, Built in /metrics endpoint (without exporter), Built in OTLP push",Yes,"OTel SDKs, Prometheus SDKs","Open source OTel Collector (core, contrib)",Very easy,,Other,Intermediate - We are setting up an observability practice,100-999 employees,No,
3/25/2026 13:12:53,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",SRE,Yes,"OTel receivers, Prometheus exporters",Yes,"OTel SDKs, Self instrumemtation, manual instrumentarion for OTEl","Open source OTel Collector (core, contrib)",Neither easy nor difficult,,Technology,Intermediate - We are setting up an observability practice,100-999 employees,No,
3/25/2026 13:53:25,Yes,Prometheus-compatible (or PromQL compatible) backend from a vendor,Dev,Yes,Built in OTLP push,No,,"Open source OTel Collector (core, contrib)",Neither easy nor difficult,,Technology,Intermediate - We are setting up an observability practice,50-99 employees,Yes,
3/25/2026 14:05:45,Yes,Clickhouse,,,,,,,,,,,,,
4/23/2026 15:57:14,No,,,,,,,,,,,,,,
4/23/2026 15:57:25,No,,,,,,,,,,,,,,
4/23/2026 15:59:18,No,,,,,,,,,,,,,,
4/23/2026 16:00:01,Yes,"A backend not associated with Prometheus, not compatible with PromQL",,,,,,,,,,,,,
4/23/2026 16:01:00,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",SRE,,I don't collect infrastructure metrics,,"OTel SDKs, OpenTelemetry eBPF Instrumentation (a.k.a. OBI)",Prometheus relabeling rules or record evaluations,Neither easy nor difficult,,Finance,Expert - Having a well-established observability practice,50-99 employees,Yes,Yes
4/27/2026 15:20:58,Yes,Splunk,,,,,,,,,,,,,
4/27/2026 15:36:14,Yes,Prometheus,Platform Engineering,,"OTel receivers, Prometheus exporters, Built-in OTLP push",,OTel SDKs,"Open source OTel Collector (core, contrib), Vendor distribution of OTel Collector",Somewhat easy,Enable MCP or agentic ai,Technology,Intermediate - Setting up an observability practice,1000+ employees,Yes,No
4/27/2026 15:36:26,No,,,,,,,,,,,,,,
4/27/2026 15:54:52,Yes,Prometheus,Sysadmin,,OTel receivers,,OTel SDKs,"Open source OTel Collector (core, contrib)",Neither easy nor difficult,Create a simple and secure repository to install Otelcol. ,Technology,Intermediate - Setting up an observability practice,100-999 employees,No,No
4/27/2026 16:00:22,Yes,Zabbix,,,,,,,,,,,,,
4/27/2026 16:08:55,Yes,Elastic,,,,,,,,,,,,,
4/27/2026 16:13:39,No,,,,,,,,,,,,,,
4/27/2026 16:52:28,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",Dev,,"OTel receivers, Prometheus exporters, OpenTelemetry eBPF Instrumentation (a.k.a. OBI)",,"OTel SDKs, OpenTelemetry eBPF Instrumentation (a.k.a. OBI)","Prometheus relabeling rules or record evaluations, Open source OTel Collector (core, contrib)",Neither easy nor difficult,,Finance,Intermediate - Setting up an observability practice,50-99 employees,No,No
4/27/2026 16:57:45,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",Platform Engineering,,"OTel receivers, Prometheus exporters, Built-in OTLP push",,"OTel SDKs, Prometheus SDKs","Prometheus relabeling rules or record evaluations, Custom-built OTel Collector built with OCB",Somewhat easy,"Native ruler, so I can use Prometheus recording rules directly in the collector. ",Technology,Expert - Having a well-established observability practice,100-999 employees,No,No
4/27/2026 16:59:50,Yes,Prometheus,SRE,,"OTel receivers, Prometheus exporters, Built-in /metrics endpoint (without exporter), Built-in OTLP push, OpenTelemetry eBPF Instrumentation (a.k.a. OBI)",,OTel SDKs,"Open source OTel Collector (core, contrib)",Very easy,,Technology,Intermediate - Setting up an observability practice,1-49 employees,Yes,Yes
4/27/2026 17:13:57,No,,,,,,,,,,,,,,
4/27/2026 17:38:11,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",Platform Engineering,,"OTel receivers, Built-in /metrics endpoint (without exporter)",,OpenTelemetry eBPF Instrumentation (a.k.a. OBI),"Open source OTel Collector (core, contrib)",Neither easy nor difficult,,Technology,Expert - Having a well-established observability practice,1000+ employees,No,No
4/27/2026 17:50:52,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",Dev,,Built-in OTLP push,,OTel SDKs,"Open source OTel Collector (core, contrib)",Neither easy nor difficult,,Finance,Intermediate - Setting up an observability practice,100-999 employees,Yes,No
4/27/2026 18:58:15,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",SRE,,"OTel receivers, Prometheus exporters",,OTel SDKs,"Prometheus relabeling rules or record evaluations, Open source OTel Collector (core, contrib)",Somewhat easy,Library,Technology,Intermediate - Setting up an observability practice,1000+ employees,No,Yes
4/27/2026 19:19:55,Yes,Prometheus,Platform Engineering,,Prometheus exporters,,OTel SDKs,Prometheus relabeling rules or record evaluations,Neither easy nor difficult,,Technology,Beginner - Learning about observability / Have used monitoring tools,1000+ employees,No,Yes
4/27/2026 19:41:31,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",SRE,,"OTel receivers, Prometheus exporters, Built-in /metrics endpoint (without exporter), Built-in OTLP push, OpenTelemetry eBPF Instrumentation (a.k.a. OBI)",,"OTel SDKs, Prometheus SDKs, OpenTelemetry eBPF Instrumentation (a.k.a. OBI)","Open source OTel Collector (core, contrib)",Neither easy nor difficult,,Other,Expert - Having a well-established observability practice,100-999 employees,No,No
4/27/2026 20:25:03,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",Dev,,"Prometheus exporters, Built-in OTLP push",,OTel SDKs,Vendor distribution of OTel Collector,Very easy,,Technology,Expert - Having a well-established observability practice,100-999 employees,No,No
4/27/2026 21:19:57,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",SRE,,"OTel receivers, Prometheus exporters, Built-in /metrics endpoint (without exporter), Built-in OTLP push, OpenTelemetry eBPF Instrumentation (a.k.a. OBI)",,"OTel SDKs, Prometheus SDKs",I don’t know,Neither easy nor difficult,,Technology,Intermediate - Setting up an observability practice,1000+ employees,Yes,Yes
4/27/2026 21:45:33,Yes,VictoriaMetrics,,,,,,,,,,,,,
4/27/2026 22:45:37,Yes,Prometheus,DevOps,,"OTel receivers, Prometheus exporters, Built-in OTLP push, OpenTelemetry eBPF Instrumentation (a.k.a. OBI)",,"OTel SDKs, Prometheus SDKs","Open source OTel Collector (core, contrib), Custom-built OTel Collector built with OCB",Somewhat difficult,,Technology,Expert - Having a well-established observability practice,50-99 employees,Yes,No
4/28/2026 0:17:36,Yes,Prometheus,Observability,,"Prometheus exporters, Zabbix ",,"OTel SDKs, OpenTelemetry eBPF Instrumentation (a.k.a. OBI)","Open source OTel Collector (core, contrib)",Somewhat easy,,Technology,Expert - Having a well-established observability practice,1000+ employees,No,No
4/28/2026 3:43:12,No,,,,,,,,,,,,,,
4/28/2026 3:49:08,No,,,,,,,,,,,,,,
4/28/2026 4:00:33,Yes,Prometheus,DevOps,,"I don't collect infrastructure metrics, Prometheus exporters",,I don’t know,I don’t know,Somewhat easy,Yes,Retail,Expert - Having a well-established observability practice,1000+ employees,Yes,Yes
4/28/2026 4:08:43,Yes,Prometheus-compatible (or PromQL compatible) backend from a vendor,Sales Engineering,,"OTel receivers, Prometheus exporters",,OTel SDKs,"Open source OTel Collector (core, contrib), Vendor distribution of OTel Collector",Somewhat easy,"maybe more of a vendor thing, but prometheus histograms and cumulative histograms don't really play well with OpenTelemetry. Even when using cumulativetodelta processor, numbers are weird, makes no sense so we stop using it.",Technology,Expert - Having a well-established observability practice,1000+ employees,Yes,No
4/28/2026 6:57:38,Yes,"A backend not associated with Prometheus, not compatible with PromQL",,,,,,,,,,,,,
4/28/2026 7:07:59,Yes,Prometheus,Platform Engineering,,OTel receivers,,OTel SDKs,"Open source OTel Collector (core, contrib)",Very easy,,Technology,Intermediate - Setting up an observability practice,1000+ employees,No,No
4/28/2026 7:42:40,Yes,Prometheus,Platform Engineering,,Prometheus exporters,,Prometheus SDKs,Prometheus relabeling rules or record evaluations,Somewhat difficult,,Technology,Intermediate - Setting up an observability practice,1000+ employees,No,No
4/28/2026 8:05:35,Yes,Prometheus,Observability,,"OTel receivers, Prometheus exporters, Built-in /metrics endpoint (without exporter), Built-in OTLP push",,Prometheus SDKs,"Prometheus relabeling rules or record evaluations, Open source OTel Collector (core, contrib)",Somewhat easy,,Technology,Expert - Having a well-established observability practice,100-999 employees,No,Yes
4/28/2026 8:39:38,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",Observability,,"OTel receivers, Prometheus exporters",,OTel SDKs,"Open source OTel Collector (core, contrib)",Somewhat easy,,Technology,Expert - Having a well-established observability practice,1-49 employees,Yes,No
4/28/2026 8:42:34,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",Observability,,"OTel receivers, Prometheus exporters, Built-in /metrics endpoint (without exporter), Built-in OTLP push",,"OTel SDKs, Prometheus SDKs","Open source OTel Collector (core, contrib)",Somewhat easy,,Technology,Expert - Having a well-established observability practice,50-99 employees,No,No
4/28/2026 8:44:06,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",Observability,,"OTel receivers, Prometheus exporters",,OTel SDKs,"Open source OTel Collector (core, contrib), Custom-built OTel Collector built with OCB, Vendor distribution of OTel Collector",Somewhat easy,,Technology,Expert - Having a well-established observability practice,50-99 employees,Yes,Yes
4/28/2026 8:57:07,Yes,Prometheus,Observability,,OTel receivers,,OTel SDKs,"Open source OTel Collector (core, contrib)",Very easy,,Finance,Intermediate - Setting up an observability practice,1-49 employees,Yes,No
4/28/2026 9:24:23,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",Observability,,Prometheus exporters,,"OTel SDKs, Prometheus SDKs, already built exporters","Open source OTel Collector (core, contrib)",Very easy,,Technology,Expert - Having a well-established observability practice,50-99 employees,No,No
4/28/2026 9:52:34,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",Observability,,OTel receivers,,OTel SDKs,"Open source OTel Collector (core, contrib)",Somewhat difficult,"Seamless handling of resource attributes, no joins",Technology,Expert - Having a well-established observability practice,1000+ employees,No,No
4/28/2026 14:11:08,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",Dev,,"OTel receivers, Prometheus exporters, Built-in OTLP push",,OTel SDKs,"Open source OTel Collector (core, contrib)",Very easy,,Technology,Expert - Having a well-established observability practice,50-99 employees,No,No
4/28/2026 15:26:31,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",Platform Engineering,,"OTel receivers, Prometheus exporters",,OTel SDKs,"Prometheus relabeling rules or record evaluations, Custom-built OTel Collector built with OCB, Vendor distribution of OTel Collector",Neither easy nor difficult,Labels,Finance,Expert - Having a well-established observability practice,100-999 employees,No,No
4/28/2026 18:42:59,Yes,Prometheus,Observability,,Built-in /metrics endpoint (without exporter),,"OTel SDKs, Prometheus SDKs",Prometheus relabeling rules or record evaluations,Somewhat easy,,Technology,Expert - Having a well-established observability practice,1000+ employees,No,No
4/28/2026 20:38:20,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",Platform Engineering,,OpenTelemetry eBPF Instrumentation (a.k.a. OBI),,OpenTelemetry eBPF Instrumentation (a.k.a. OBI),"Open source OTel Collector (core, contrib)",Very easy,,Technology,Expert - Having a well-established observability practice,1000+ employees,No,No
4/28/2026 21:02:38,No,,,,,,,,,,,,,,
4/28/2026 21:23:14,Yes,"A backend not associated with Prometheus, not compatible with PromQL",,,,,,,,,,,,,
4/29/2026 15:46:57,No,,,,,,,,,,,,,,
4/29/2026 19:03:55,Yes,Prometheus + Signoz,,,,,,,,,,,,,
4/29/2026 22:43:15,Yes,Prometheus,Dev,,"OTel receivers, Prometheus exporters, Built-in /metrics endpoint (without exporter), Built-in OTLP push",,Micrometer,"Open source OTel Collector (core, contrib), Vendor distribution of OTel Collector",Somewhat difficult,"Interoperability has been improving, but there’s still some friction in the way metrics are named and formatted",Technology,Intermediate - Setting up an observability practice,1000+ employees,No,No
4/30/2026 14:29:16,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",SRE,,"Prometheus exporters, Built-in /metrics endpoint (without exporter)",,I don't collect application metrics,"Prometheus relabeling rules or record evaluations, Vendor distribution of OTel Collector",Neither easy nor difficult,,Technology,Expert - Having a well-established observability practice,1000+ employees,No,No
4/30/2026 17:26:29,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",Observability,,Prometheus exporters,,"OTel SDKs, Prometheus SDKs","Nothing, it goes to storage right away",Very easy,,Technology,Expert - Having a well-established observability practice,1000+ employees,No,No
4/30/2026 20:25:50,Yes,Prometheus,Other,,,,,,,,,,,,
4/30/2026 21:10:39,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",Platform Engineering,,"OTel receivers, Prometheus exporters",,"OTel SDKs, Prometheus SDKs","Prometheus relabeling rules or record evaluations, Open source OTel Collector (core, contrib)",Neither easy nor difficult,,Technology,Beginner - Learning about observability / Have used monitoring tools,1-49 employees,No,No
5/1/2026 10:34:06,Yes,Prometheus,Observability,,OTel receivers,,OTel SDKs,Prometheus relabeling rules or record evaluations,Very easy,,Technology,Intermediate - Setting up an observability practice,50-99 employees,Yes,Yes
5/1/2026 18:02:18,No,,,,,,,,,,,,,,
5/1/2026 18:04:10,Yes,Prometheus,DevOps,,Prometheus exporters,,Prometheus SDKs,Prometheus relabeling rules or record evaluations,Neither easy nor difficult,,Technology,Intermediate - Setting up an observability practice,1-49 employees,No,Yes
5/1/2026 18:35:56,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",SRE,,"OTel receivers, Prometheus exporters, Built-in OTLP push, OpenTelemetry eBPF Instrumentation (a.k.a. OBI)",,"OTel SDKs, Prometheus SDKs, OpenTelemetry eBPF Instrumentation (a.k.a. OBI)","Prometheus relabeling rules or record evaluations, Open source OTel Collector (core, contrib)",Somewhat difficult,,Technology,Expert - Having a well-established observability practice,100-999 employees,No,No
5/2/2026 16:03:12,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",Platform Engineering,,"OTel receivers, Built-in /metrics endpoint (without exporter), Built-in OTLP push",,OTel SDKs,"Prometheus relabeling rules or record evaluations, Open source OTel Collector (core, contrib)",Somewhat easy,"If you instrument a lot with opentelemetry, prometheus becomes great as a backend. Doing so, make a lot of component superfluous in my view, since you are not using a lot of feature that it provides, instead you use maily tsdb. For that reason I was wondering switching to thanos. The only thing that has stopped me is the additional complexity.",Finance,Intermediate - Setting up an observability practice,100-999 employees,No,No
5/2/2026 17:01:13,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",SRE,,OTel receivers,,OTel SDKs,"Open source OTel Collector (core, contrib)",Very easy,,Technology,Intermediate - Setting up an observability practice,1-49 employees,No,Yes
5/4/2026 22:00:19,No,,,,,,,,,,,,,,
5/4/2026 22:21:59,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",SRE,,"Prometheus exporters, Built-in /metrics endpoint (without exporter)",,"OTel SDKs, Prometheus SDKs","Prometheus relabeling rules or record evaluations, Open source OTel Collector (core, contrib)",Somewhat easy,"Sometimes there are versions incompatibility, like on the Prometheus receiver in Otel collector that only support the v2 remote write version, even though it is not fully used yet.",Technology,Expert - Having a well-established observability practice,50-99 employees,No,Yes
5/5/2026 0:39:48,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",Observability,,OTel receivers,,OTel SDKs,"Open source OTel Collector (core, contrib)",Somewhat easy,improve target allocator,Finance,Intermediate - Setting up an observability practice,1000+ employees,Yes,Yes
5/5/2026 1:05:07,Yes,Prometheus-compatible (or PromQL compatible) backend from a vendor,Observability,,OTel receivers,,"OTel SDKs, Prometheus SDKs","Prometheus relabeling rules or record evaluations, Open source OTel Collector (core, contrib)",Neither easy nor difficult,,Technology,Intermediate - Setting up an observability practice,1000+ employees,No,No
5/5/2026 3:40:05,Yes,Prometheus,DevOps,,"Built-in /metrics endpoint (without exporter), Built-in OTLP push",,OTel SDKs,"Prometheus relabeling rules or record evaluations, Open source OTel Collector (core, contrib)",Neither easy nor difficult,,Technology,Intermediate - Setting up an observability practice,100-999 employees,No,No
5/5/2026 8:22:45,Yes,"A backend not associated with Prometheus, not compatible with PromQL",,,,,,,,,,,,,
5/5/2026 22:32:57,Yes,Prometheus-compatible (or PromQL compatible) backend from a vendor,DevOps,,"OTel receivers, Prometheus exporters",,OTel SDKs,"Prometheus relabeling rules or record evaluations, Custom-built OTel Collector built with OCB",Somewhat easy,,Technology,Expert - Having a well-established observability practice,1000+ employees,No,No
5/6/2026 14:29:37,Yes,Prometheus-compatible (or PromQL compatible) backend from a vendor,Observability,,"OTel receivers, Built-in /metrics endpoint (without exporter)",,Prometheus SDKs,"Prometheus relabeling rules or record evaluations, Open source OTel Collector (core, contrib)",Very easy,Sharding,Technology,Expert - Having a well-established observability practice,1000+ employees,No,No
5/6/2026 19:32:46,No,,,,,,,,,,,,,,
5/6/2026 23:29:56,Yes,Prometheus-compatible (or PromQL compatible) backend from a vendor,Dev,,"Prometheus exporters, Built-in OTLP push",,OTel SDKs,"Nothing, it goes to storage right away",Somewhat easy,,Finance,Intermediate - Setting up an observability practice,1000+ employees,No,No
5/7/2026 4:25:55,No,,,,,,,,,,,,,,
